Μάθημα,Ημέρα,Ώρα έναρξης,Ώρα λήξης,Διδάσκων,Χώρος
Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων,Δευτέρα,03:00:00,05:00:00,ΤΣΩΧΟΥ,ΑΙΘΟΥΣΑ 3
Επεξεργασία Ομιλίας και Ήχου,Δευτέρα,05:00:00,07:00:00,ΚΑΡΥΔΗΣ,ΑΙΘΟΥΣΑ 1
Έξυπνα Περιβάλλοντα και Εφαρμογές,Δευτέρα,07:00:00,09:00:00,ΧΩΡΙΑΝΟΠΟΥΛΟΣ,ΕΡΓΑΣΤΗΡΙΟ ΑΡΕΤΑΙΟΣ
Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων,Τρίτη,11:00:00,01:00:00,ΤΣΩΧΟΥ,ΑΙΘΟΥΣΑ 3
Ηλεκτρονική Διακυβέρνηση,Τρίτη,01:00:00,03:00:00,ΚΟΥΡΟΥΘΑΝΑΣΗΣ,ΑΙΘΟΥΣΑ 2
Παράλληλος Προγραμματισμός,Τρίτη,03:00:00,05:00:00,ΣΤΕΦΑΝΙΔΑΚΗΣ,ΕΡΓΑΣΤΗΡΙΟ ΑΡΕΤΑΙΟΣ
Αποθήκες Δεδομένων και Εξόρυξη Γνώσης,Τρίτη,05:00:00,07:00:00,ΕΞΑΡΧΟΣ,ΑΙΘΟΥΣΑ 2
Κοινωνικός και Σημασιολογικός Ιστός,Τετάρτη,09:00:00,11:00:00,ΜΥΛΩΝΑΣ,ΑΙΘΟΥΣΑ 1
Ηλεκτρονική Διακυβέρνηση,Τετάρτη,11:00:00,01:00:00,ΚΟΥΡΟΥΘΑΝΑΣΗΣ,ΑΙΘΟΥΣΑ 1
Αποθήκες Δεδομένων και Εξόρυξη Γνώσης,Τετάρτη,01:00:00,03:00:00,ΚΕΡΜΑΝΙΔΟΥ,ΕΡΓΑΣΤΗΡΙΟ ΓΑΛΗΝΟΣ
Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Τετάρτη,03:00:00,05:00:00,ΠΑΤΕΛΗ,ΑΙΘΟΥΣΑ 3
Παράλληλος Προγραμματισμός,Τετάρτη,05:00:00,07:00:00,ΣΤΕΦΑΝΙΔΑΚΗΣ,ΑΙΘΟΥΣΑ 2
Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Πέμπτη,01:00:00,03:00:00,ΠΑΤΕΛΗ,ΑΙΘΟΥΣΑ 2
Κοινωνικός και Σημασιολογικός Ιστός,Πέμπτη,03:00:00,05:00:00,ΣΤΕΦΑΝΙΔΑΚΗΣ,ΕΡΓΑΣΤΗΡΙΟ ΑΡΕΤΑΙΟΣ
Επεξεργασία Ομιλίας και Ήχου,Πέμπτη,05:00:00,07:00:00,ΚΑΡΥΔΗΣ,ΕΡΓΑΣΤΗΡΙΟ ΓΑΛΗΝΟΣ
Έξυπνα Περιβάλλοντα και Εφαρμογές,Παρασκευή,07:00:00,09:00:00,ΧΩΡΙΑΝΟΠΟΥΛΟΣ,ΕΡΓΑΣΤΗΡΙΟ ΑΡΕΤΑΙΟΣ
